phonemes,graphemes
rēlīt,relight
ōvərhēt,overheat
äd,odd
tōgə,toga
kətastəsə̇s,catastasis
əblāshən,oblation
stīraks,styrax
ȯtōtrantsfȯrmər,autotransformer
əvāləbilətē,availability
sakrəstən,sacristan
fefmənt,feoffment
fīsəstōm,physostome
damē,damme
kəlektivizəm,collectivism
infantə,infanta
präsikyütȯrēəl,prosecutorial
rümər,rumor
grimēə,grimmia
plasəd,placid
wäləbē,wallaby
tētōtᵊl,teetotal
sləmp,slump
ȯrnəthän,ornithon
sēdliŋ,seedling
frinäləjē,phrenology
spitᵊl,spital
prävnənts,provenance
vestijēəm,vestigium
defərenchəl,deferential
rektriks,rectrix
blüp,bloop
stäp,stop
nänrōtātiŋ,nonrotating
eksind,exscind
ekwəpȯiz,equipoise
bu̇lberē,bullberry
ləst,lust
prēlībāshən,prelibation
shärmüz,charmeuse
klipēastər,clypeaster
intərkəpəl,intercouple
əntraməld,untrammeled
apəsimatik,aposematic
ōvərkapətəlīz,overcapitalize
wīdish,widish
hōlmēl,wholemeal
prēchil,prechill
melam,melam
täŋ,tong
ȯrthēən,orthian
sitəsizəm,psittacism
thȯrəkätəmē,thoracotomy
frēkwəntlē,frequently
ālərän,aileron
timbərmən,timberman
dēfenəstrāshən,defenestration
penətrənts,penetrance
pərklȯrōethəlēn,perchloroethylene
bu̇lēiŋ,bullying
hīpərkäntshəs,hyperconscious
nāker,necker
ēkəsīd,ecocide
vakyəwōlātəd,vacuolated
thēandrik,theandric
ekspēətȯrē,expiatory
īdēäləjē,ideology
mekə,mecca
misfōkəs,misfocus
ristriktiv,restrictive
bich,bitch
leskərelə,lesquerella
riləkt,reluct
agnästəs,agnostus
əpərkās,uppercase
hwid,whid
həsē,hussy
rēirekt,reerect
pȯrtentəs,portentous
basəlōsəs,colibacillosis
brag,brag
kənjəŋktiv,conjunctive
imbā,embay
kalsīnər,calciner
sefēid,cepheid
lirəsist,lyricist
ātwē,etui
inəsəntsē,innocency
kərāgəs,choragus
kəsēnə,cassena
indəkātər,indicator
helyən,hellion
līm,lime
dandrəf,dandruff
petwu̇d,petwood
trīdᵊnt,trident
wätsən,watson
malfȯrmāshən,malformation
trakəlōplastē,tracheloplasty
pēnīt,pinite
frəgaarēə,fragaria
ȯltərə̇st,altarist
ōvərdiveləp,overdevelop
flē,flee
kərbē,kirby
miktirēə,mycteria
thēȯrbō,theorbo
ikstenyəwāt,extenuate
ambȯinə,amboyna
saŋktətē,sanctity
sōthēak,sothiac
snəfbäks,snuffbox
mülä,moola
kəkau̇,cacao
hīlə,hyla
līmȯid,limoid
gȯntlət,gauntlet
mantəd,mantid
iŋkstər,inkster
kau̇hīd,cowhide
astəriksis,asterixis
hīpəraldästərōnizəm,hyperaldosteronism
dimäntstrəbəl,demonstrable
dabchik,dabchick
thərəbrās,thoroughbrace
pərü,peru
hwēzē,wheezy
rēpəzes,repossess
intərstəs,interstice
lapst,lapsed
sadlərē,saddlery
abəkəs,abacus
santir,santir
sindərēsə̇s,synderesis
defənətīz,definitize
bishəp,bishop
spünərizəm,spoonerism
pēastər,piastre
bärbət,barbet
kənelə,canella
shȯrwərd,shoreward
ənkantsəld,uncanceled
āpetələs,apetalous
äksalədāsēē,oxalidaceae
pālēästrə̇kə,palaeostraca
wenläk,wenlock
kəntājēəm,contagium
krüz,cruse
apə̇kad,apicad
kerəsel,carousel
drādᵊl,dreidel
flüāt,fluate
agnōsəs,agnosis
bət,butt
byäŋkē,bianchi
rist,wrist
kyükəlāt,cucullate
pəpətīz,puppetize
kaləthäs,calathos
dīs,dice
prisidēəm,presidium
wāstər,waister
antenə,antenna
brakə̇sefəl,brachycephal
wer,ware
sə̇raməsīt,ceramicite
bləjən,bludgeon
lȯsē,lossy
birij,beerage
bīkȯrpərəl,bicorporal
galəhad,galahad
lō,lo
sapəjenən,sapogenin
əchirə,achira
bētᵊl,baetyl
nedē,neddy
vāg,vague
də̇lül,deloul
kələrāshən,coloration
nām,name
ēlät,ihlat
sītəblast,cytoblast
dikalkəmānēə,decalcomania
salpənjektəmē,salpingectomy
anəmōsō,animoso
ənmyüt,unmute
ärbəlist,arbalest
tēthi,teethy
gasträləjəst,gastrologist
spirwərt,spearwort
retinyələ,retinula
bask,bask
dīətäm,diatom
kȯrifā,coryphée
kärsᵊnōsärkōmə,carcinosarcoma
tanzənīt,tanzanite
tifən,tiffin
bärth,barth
səverətē,severity
baŋkrəpt,bankrupt
bränz,bronze
əpstärt,upstart
dȯrlək,dorlach
müthmənīt,muthmannite
səlisəfī,silicify
mēdēənt,mediant
īkȯr,ichor
intərmishən,intermission
bəməl,bummel
prēmed,premed
binj,binge
häd,hod
fyüzōbaktirēəm,fusobacterium
dēkazhəwəlīz,decasualize
maləyäləm,malayalam
nyümrəsē,numeracy
siŋgəltəs,singultus
pestəsīd,pesticide
manəfestənt,manifestant
bitōkən,betoken
pälēfänik,polyphonic
bəlmənt,gabblement
əndipləmatik,undiplomatic
fōtōrikänəzənts,photoreconnaissance
lükəsīt,leukocyte
mīkrägəmē,microgamy
təskēgē,tuskegee
pəŋgəl,pungle
sfēnōtik,sphenotic
netəpəs,nettapus
jipsəm,gypsum
pakisandrə,pachysandra
kyüpel,cupel
tüm,tomb
kānīn,canine
mādᵊnlēnəs,maidenliness
ediŋtənīt,edingtonite
krenᵊlə̇t,crenelet
dəsᵫ̅,dessus
tȯrchəlāsēē,tortulaceae
sə̇simbrēəm,sisymbrium
təkēə,tekiah
piprədē,pipridae
anīəl,anile
swiftnəs,swiftness
mēnäsrägrīt,minasragrite
sēdtīm,seedtime
drȯstriŋ,drawstring
kändəlärthrə,condylarthra
wist,wist
stikəbilətē,stickability
glamrəs,glamorous
bibləs,biblus
au̇trīd,outride
pīələp,pileup
āvikələs,avicolous
siŋkrətizəm,syncretism
piknik,picnic
bīōrithəm,biorhythm
käkē,kaki
kachē,catchy
tiktak,ticktack
sīm,cyme
hu̇pmən,hoopman
intərjekshən,interjection
girhwēl,gearwheel
sentyu̇rēəl,centurial
thrȯl,thrall
bümstər,boomster
thōəraks,chylothorax
pənər,punner
histər,hister
ärpejēändō,arpeggiando
nōtə̇səbilətē,noticeability
täksədänt,toxodont
kaləban,caliban
wiləbəl,willable
gaŋplaŋk,gangplank
prüf,proof
brestplāt,breastplate
dēhȯrn,dehorn
dēkärbäksəlās,decarboxylase
anəmōmetrik,anemometric
hemläk,hemlock
härmōnēəm,harmonium
difētizəm,defeatism
däl,dal
pīrət,pirate
mistik,mistic
ādrēən,adrian
akəzhü,acajou
siŋgyəlektəmē,cingulectomy
plāgrau̇nd,playground
rälik,rollick
tabəret,taboret
hēȯrtᵊläjə̇kəl,heortological
perəf,paraph
käpərē,coppery
əpärtmənt,apartment
krȯsbär,crossbar
amfərīnə,amphirhina
blench,blench
nänstrəkchərəl,nonstructural
spinau̇t,spinout
tyümēän,tumion
aplōm,aplome
rēkȯiəlləs,recoilless
hilēnə̇s,hilliness
mäg,mog
äŋkəlu̇ər,encolure
rübijənəs,rubiginous
krinj,cringe
käntshənts,conscience
släfkȯf,slavkov
sərf,serf
bländ,blond
tȯrpəd,torpid
nänretrōaktiv,nonretroactive
dräpau̇t,dropout
bəbē,bubby
hȯrsbēn,horsebean
chärtäləjē,chartology
käntstətüshnəlē,constitutionally
injükəndətē,injucundity
brānchīəld,brainchild
grāsləs,graceless
pəlīt,polite
thēsēəm,thesium
rau̇ə̇t,rowet
käzmənȯt,cosmonaut
iŋkyəbəs,incubus
bəŋgəlȯid,bungaloid
antēhīpərtentsiv,antihypertensive
brȯdkast,broadcast
intərvyü,interview
pēlīk,pealike
nändē,nandi
rādēōlerēən,radiolarian
intümesᵊnts,intumescence
fȯrəst,forest
əlē,alee
flu̇əranthēn,fluoranthene
disərniŋ,discerning
parətrōfik,paratrophic
fu̇thil,foothill
pīräləsəs,pyrolysis
kētägnəthə,chaetognatha
pəlshən,pulsion
kwich,quitch
windləs,windlass
plantsmən,plantsman
də̇sipyələr,discipular
pləntthər,plunther
trānlōd,trainload
ləsh,lush
plak,plaque
kiljȯi,killjoy
vitrān,vitrain
ermən,airman
ərsəs,ursus
kəf,cuff
laktōn,lactone
iskəchən,escutcheon
distərb,disturb
bitwēntīmz,betweentimes
ənkənsälədātəd,unconsolidated
āzəl,aizle
kōⁿtes,comtesse
pərfektiv,perfective
injər,injure
sərkəmambyəlāt,circumambulate
kantthərəs,cantharus
pərfȯrmənts,performance
predikət,predicate
sälədərīz,solidarize
rimȯrə,remora
hwipət,whippet
brä,bra
kəkeksēə,cachexia
chämp,chomp
ȯrthəpēdik,orthopedic
bir,bier
bedwərd,bedward
ənkəntraktəd,uncontracted
klōməfēn,clomiphene
kənēsēäləjē,kinesiology
kȯzəbəl,causable
tiŋ,ting
iksklām,exclaim
efərə,ephyra
satərnizəm,saturnism
trīb,tribe
sivē,civvy
indispyütəbəl,indisputable
klōraləm,chloralum
gəlp,gulp
impraktikəbəl,impracticable
skrēniŋ,screening
jäkər,jocker
wīərdrȯ,wiredraw
inmīgrənt,inmigrant
kau̇ntərsiŋk,countersink
küpərij,cooperage
minēsirēz,miniseries
äzməskōp,osmoscope
sträntik,strontic
metəplāzhēə,metaplasia
lōərmōst,lowermost
shēthiŋ,sheathing
dīastəsəs,diastasis
spinət,spinet
bindē,bindi
məninjēōmə,meningioma
endäkrənəs,endocrinous
härvəst,harvest
jäkyələr,jocular
kriptəgam,cryptogam
implōzhən,implosion
tatərdimālyən,tatterdemalion
eksərb,exurb
dīlüt,dilute
last,last
ōfā,ofay
lap,lapp
pāstēz,pasties
dēdfəl,deedful
lepərō,lepero
anthēlyən,anthelion
diskägrəfē,discography
endōərjik,endoergic
pälēīdik,polyeidic
medətātiv,meditative
ratliŋ,rattling
chēz,cheese
glōkidēəm,glochidium
priper,prepare
näpterədē,balaenopteridae
kīlifərəs,chyliferous
plu̇rän,pleuron
bäbəsü,babassu
sīklisətē,cyclicity
disprīz,disprize
pasəfist,pacifist
penətentshəl,penitential
taktləs,tactless
fabyəlist,fabulist
seləndīn,celandine
blənt,blunt
perəstīlər,peristylar
əlitərətiv,alliterative
prestər,prester
älə̇gōnīt,oligonite
misbə̇sēm,misbeseem
jə̇jirēəm,gigerium
hīmēnēəl,hymenial
jipər,gypper
miksəsīt,myxocyte
chāp,chape
rapchər,rapture
flüt,flute
sämnələnt,somnolent
figyəränt,figurante
beləmantsē,belomancy
mȯndər,maunder
künᵊlē,coonily
lȯŋsītəd,longsighted
känkrēshən,concretion
intəmə,intima
klāvər,claver
drōgər,drogher
amēȯidēī,amioidei
inaməl,enamel
dignəfī,dignify
zefər,zephyr
sāpə,sapa
wälər,waller
kōlənäskəpē,colonoscopy
skēmərē,schemery
smithəm,smitham
ōvərkau̇nt,overcount
niktəlōp,nyctalope
hyülə̇s,hueless
matəlōt,matelote
dipləmāt,diplomate
trəstwərthē,trustworthy
ərānjmənt,arrangement
shnȯrər,schnorrer
ȯtōchānjər,autochanger
chu̇rigəresk,churrigueresque
impenətrəbəl,impenetrable
səbdeb,subdeb
perədəsīəkəl,paradisiacal
bȯs,boss
divənīz,divinize
kəlāzə,chalaza
rədikyələr,radicular
näbəl,nobble
pälēad,polyad
rimfīər,rimfire
mänərk,monarch
salət,sallet
särkäləsəs,sarcolysis
blemə̇shər,blemisher
skȯrdətu̇rə,scordatura
fyüshə,fuchsia
fijət,fidget
ōvərəȯrgənīz,overorganize
gāj,gage
eləjīək,elegiac
zanthāshən,xanthation
iksklamətȯrē,exclamatory
pəkürē,pacoury
kwȯk,quawk
perəlün,perilune
ikstravigənts,extravagance
kanəbəlizəm,cannibalism
käzmətäləjist,cosmetologist
jemənᵊl,geminal
säwə,sawah
trāgəl,tragal
intərägətȯrē,interrogatory
sləthər,sluther
merish,marish
yärəl,jarl
sədᵊn,sudden
inhäspitəbəl,inhospitable
wän,wan
tāl,tail
iridēməbəl,irredeemable
klir,clear
helish,hellish
heptəklȯr,heptachlor
eshə̇n,eshin
mīkrōsefəlē,microcephaly
akrədan,acridan
məhäräshtrē,maharashtri
twēn,tween
ə̇nkrəstāt,incrustate
bȯrstᵊl,borstal
krīsētəd,cricetid
brōdərər,broderer
sükərē,sucuri
lübē,looby
chekərberē,checkerberry
ratᵊlbrān,rattlebrain
fȯrdüm,foredoom
mär,mar
ēkärēä,ikaria
wājər,wager
thrȯŋ,throng
mələkəz,moluccas
hīdrōmētēər,hydrometeor
ərendᵊlīt,arendalite
dēkəpəl,decouple
nītrāt,nitrate
təglə̇s,tugless
fāsləs,faceless
hēmətäksələn,hematoxylin
swād,suede
yägwə,yagua
ȯrən,aurin
prōtēəm,protium
ästend,ostend
kantō,canto
fībrōkärtᵊlij,fibrocartilage
trōkəs,trocas
tenəntrē,lieutenantry
strüər,strewer
distȯrshən,distortion
trāv,tref
inpu̇t,input
shrēv,shrieve
yüz,use
testəmentəm,testamentum
gaspē,gaspy
heriŋbōn,herringbone
plān,plain
bēstləlē,beastlily
pelmətəzōə,pelmatozoa
imbed,embed
sinkatəgȯrəmatik,syncategorematic
fəlāshēō,fellatio
birōbd,berobed
inikspresəbəl,inexpressible
niks,nix
səlisət,solicit
əndərplā,underplay
sizəm,schism
pintädō,pintado
yünəvərsālyən,universalian
serəndibīt,serendibite
gläbyələn,globulin
pȯikēləthərm,poikilotherm
bēchər,beecher
haplänt,haplont
pasəbilətē,passibility
venərāshēə,veneracea
bastərd,bastard
pentəhīdrik,pentahydric
īmərä,aymara
du̇rnbüm,doornboom
sə̇läjənē,coelogyne
rōzēōlə,roseola
kiŋpin,kingpin
dāvēz,davies
mənēmākər,moneymaker
pälēgraf,polygraph
bliŋkē,blinky
jaspəkāt,jaspachate
shlə̇s,fleshless
səvēchā,ceviche
kachmənt,catchment
yu̇frātēz,euphrates
räŋkə̇l,ronquil
antēsōshəl,antisocial
əginər,aginner
känrad,conrad
megəlȯrnə̇s,megalornis
stō,stow
äbvenchən,obvention
pīrəmantsē,pyromancy
reptətōrēəl,reptatorial
grenədə̇n,grenadin
trōfədərm,trophoderm
kärnōs,carnose
gōnēəl,gonial
thēäpnyüst,theopneust
inshrīn,enshrine
mu̇səränə,mussurana
kāliks,calix
fastnəs,fastness
ästentsəbilətē,ostensibility
vīədəkt,viaduct
əjāsᵊnts,adjacence
hərē,hurry
kau̇ntərwāt,counterweight
festiv,festive
pedəmənt,pediment
mistaks,mystax
kōlēəs,coleus
əfekshən,affection
twēg,tweag
ektōkärdēə,ectocardia
kwinkwärtikyələr,quinquarticular
mənadnäk,monadnock
selt,celt
fəgäptərə̇s,phegopteris
misbihāvyər,misbehavior
bəlünist,balloonist
bitāk,betake
hamədrīəd,hamadryad
mēnēəl,menial
fu̇lkrəl,fulcral
gramənāsēē,graminaceae
pikədil,pickadil
päd,pod
häləsīd,holoside
tȯrchwu̇d,torchwood
septōmärjənᵊl,septomarginal
gast,gassed
tərkȯiz,turquoise
nītshərt,nightshirt
byütᵊnəl,butenyl
dīətetik,dietetic
bedchāmbər,bedchamber
līpās,lipase
mäntikyələs,monticulus
akrəläjik,acrologic
takəgram,tachogram
mədrid,madrid
akrōtärsēəm,acrotarsium
galvənīz,galvanize
nēdfəl,needful
rəstikāt,rusticate
häspitəbəl,hospitable
səbbrakēəl,subbrachial
chau̇dərhed,chowderhead
liltiŋ,lilting
gəlänt,galant
səksēd,succeed
mȯrfōsə̇s,morphosis
galəlēō,galileo
nipē,nippy
shivəlrē,chivalry
kwinsentenərē,quincentenary
disəpir,disappear
fāthfəl,faithful
rə̇tə̇d,floreted
inskī,ensky
breḵəm,brecham
sidərītə̇s,sideritis
bärbəsel,barbicel
dijətäksən,digitoxin
stüpbȯl,stoopball
shaŋkər,shanker
zōäfətə,zoophyta
rēchärj,recharge
əsentsər,ascensor
kau̇lēäŋ,kaoliang
bätrēōs,botryose
sətᵊltē,subtlety
ekstrinzik,extrinsic
mētrəyərz,mitrailleuse
vistə,vista
känfȯrmāshən,conformation
nüzmən,newsman
bäznēak,bosniak
thiŋkəbəl,thinkable
inevətəblē,inevitably
skafəsirīt,scaphocerite
grajəwand,graduand
depyətāshən,deputation
pərakt,peract
kərvā,kurvey
kəbämbə,cabomba
mezəfil,mesophyll
rākläm,réclame
drōflənd,drofland
bərbət,burbot
senətaf,cenotaph
tamərak,tamarack
tekschər,texture
patəmōkērəs,potamochoerus
antiŋ,anting
amərə,amara
nōzē,nosy
adəmantəblastōmə,adamantoblastoma
yüzər,user
mərsifəl,merciful
dikamp,decamp
mənēzhə,monesia
kȯrvā,corvée
lesəthə̇s,lecythis
intərrējnəl,interregional
bēnē,beany
ənfənē,unfunny
prēfənants,prefinance
talyōnē,taglioni
balēhü,ballyhoo
nətgȯl,nutgall
seshənerē,sessionary
spekyəlātər,speculator
āpəsītəs,apicitis
hetərōüzēə,heteroousia
slapər,slapper
hau̇sbōt,housebote
afərēsəs,apheresis
snōē,snowy
käkkrō,cockcrow
präktədēəm,proctodaeum
maləpȯrshənd,malapportioned
nüzrüm,newsroom
zhə,jeu
swäth,swath
ənkənsēvəbəl,unconceivable
kəmyünəkātiv,communicative
klatē,clatty
nīd,nide
shäd,shod
əkütər,accoutre
rādēōbīäləjē,radiobiology
bāəl,baal
su̇rə,sura
frēkish,freakish
dōbē,dobie
shiprīt,shipwright
ēvərtər,evertor
faləsizəm,phallicism
maməth,mammoth
hebətüd,hebetude
igzāmən,examen
fez,fez
ärmilə,armilla
trīsᵊnaarēəm,tricenarium
ōpilēə,opilia
mīənterik,myenteric
kalktüfə,calctufa
krebz,krebs
dignəterēəl,dignitarial
sfiralsēə,sphaeralcea
dün,dune
kə̇ristik,kerystic
ədaptəbəl,adaptable
ēlȯŋgāshən,elongation
kərəndəm,corundum
ektəflōik,ectophloic
sīkȯid,psychoid
nȯrmənizəm,normanism
səkīətrē,psychiatry
anəkändə,anaconda
chaplət,chaplet
ənvaŋkwishəbəl,unvanquishable
venəməs,venomous
viskōs,viscose
sāvāshən,savation
frȯstiŋ,frosting
pāpəl,papal
ligätō,legato
talpȯid,talpoid
kərənt,courant
ōvərshät,overshot
əstüt,astute
rəkilə,rachilla
sistənu̇rēə,cystinuria
eksärk,exarch
valyənt,valiant
dedikət,dedicate
līräkənīt,liroconite
minē,mini
kəlapə,calappa
kandᵊlwik,candlewick
thwȯrt,thwart
gȯrd,gourd
ilektrōinsefələgraf,electroencephalograph
chōzᵊn,chosen
minəräləjē,mineralogy
risərj,resurge
sȯrdəd,sordid
windlə̇n,windlin
sner,snare
kärbəsər,carbocer
drē,dree
glasmākər,glassmaker
krōk,croak
məltəplī,multiply
drāpərē,drapery
thig,thig
pedikab,pedicab
kwäd,quod
dəbəlchə,dubbeltje
mȯrtəs,mortise
vəlütā,velouté
krȯsiŋ,crossing
klipē,clippie
hetərōsōmətə,heterosomata
pitᵊnts,pittance
rētīm,retime
redseeberry,redberry
kəzən,cousin
streptəmīsᵊn,dihydrostreptomycin
kwēīnə,quiina
end,end
erədīn,aerodyne
kazhwəl,casual
ōvərkastiŋ,overcasting
champ,champ
chīəldbərth,childbirth
jərōsīt,jarosite
sasē,sassy
vīələnchelō,violoncello
inkant,incant
əsidəfīər,acidifier
welbred,wellbred
süpərskript,superscript
maləpərt,malapert
rə̇piptərə,rhipiptera
səkrerēəm,sacrarium
igzərt,exert
ȯltərd,altered
eksēənt,exeunt
indēənapəlis,indianapolis
trankwilətē,tranquility
ȯrgənōträpik,organotropic
dethlē,deathly
insinyəwāt,insinuate
mīəfōər,myophore
au̇tshüt,outshoot
mȯistəfī,moistify
disenēəm,decennium
skālēnəs,scalenus
kränik,chronic
presrüm,pressroom
astərisk,asterisk
ālēən,alien
sēkant,secant
nachərələzāshən,naturalization
erōteknikəl,aerotechnical
paksilə,paxilla
antērōl,antiroll
pekən,pekan
rikərzhən,recursion
mikschər,mixture
tȯrtēyän,tortillon
windbrākər,windbreaker
səbrōgȯr,subrogor
shrəbland,shrubland
hetəräfənē,heterophony
näməgraf,nomograph
rüthfəl,ruthful
käntᵊnəntalətē,continentality
mach,match
infektiv,infective
ēnämbü,ynambu
diskəs,discuss
dät,dot
rau̇nts,rounce
südäləjə̇st,pseudologist
adrōgāt,adrogate
fäkshōl,foxhole
pōk,poke
pēn,pean
diklām,declaim
mərkyu̇rəs,mercurous
ōvərpau̇ər,overpower
swēənēz,suiones
īsəlāt,isolate
ajətātər,agitator
shapəral,chaparral
kau̇berē,cowberry
grəmbəl,grumble
haŋau̇t,hangout
mezəthēlēōmə,mesothelioma
kəmandiŋ,commanding
ȯdēō,audio
kəmbīnmənt,combinement
kōstwərd,coastward
təfən,toughen
wenläkēən,wenlockian
häch,hotch
thyüidēəm,thuidium
ȯrēlyən,aurelian
sȯlȯg,sawlog
grāvyärd,graveyard
kənjēl,congeal
əthər,other
las,lass
slāt,slate
pentəsīd,pentoside
mänətōn,monotone
māvən,maven
memərəbilətē,memorability
ekēyu̇rədə,echiurida
pəlēswu̇mən,policewoman
priskripshən,prescription
breststrōk,breaststroke
anəplazmə,anaplasma
kärdənalətē,cardinality
epyərāt,epurate
intərmiŋgəl,intermingle
əlyəlāt,ululate
kəlōkwēəl,colloquial
prəvizhən,provision
täpkōt,topcoat
septaarēən,septarian
bihau̇l,behowl
thərmənātrīt,thermonatrite
swag,swag
məltiparətē,multiparity
silēəflajəlātə,cilioflagellata
prətektərē,protectory
raməntāshəs,ramentaceous
krau̇n,crown
nänəfishəl,nonofficial
rēinflāt,reinflate
blastēə,blastaea
kärtāshəs,chartaceous
kalətīp,kallitype
medᵊl,medal
hīdrəlās,hydrolase
səbvərt,subvert
klāwer,clayware
stärch,starch
stātswu̇mən,stateswoman
īsanəmōn,isanemone
masəchüsət,massachusett
ərthlē,earthly
sinjd,singed
mīkrōminēəchu̇r,microminiature
grōvlə̇s,groveless
apənij,appanage
pēwit,peewit
hərbəl,herbal
